,source_country,target_country
0,France,Russia
1,France,Russia
2,Russia,Germany
3,Germany,Bulgaria
4,Bulgaria,Russia
5,France,Russia
6,Russia,Germany
7,Germany,Bulgaria
8,Bulgaria,Russia
9,Russia,Germany
10,Germany,Russia
11,France,Russia
12,Russia,Germany
13,Germany,Bulgaria
14,Bulgaria,Russia
15,Russia,Germany
16,Germany,Russia
17,Russia,Germany
18,France,Russia
19,Russia,Germany
20,Germany,Bulgaria
21,Bulgaria,Russia
22,Russia,Germany
23,Germany,Russia
24,Russia,Germany
25,France,Russia
26,Russia,Germany
27,Germany,Bulgaria
28,Bulgaria,Russia
29,Russia,Germany
30,Germany,Russia
31,Russia,Germany
32,Germany,Bulgaria
33,Bulgaria,Russia
34,Russia,Germany
35,Germany,Russia
36,Russia,Germany
37,Germany,Russia
38,Russia,Germany
39,Germany,Italy
40,Germany,Italy
41,Italy,Germany
42,Germany,Italy
43,Italy,Germany
44,Germany,Italy
45,Italy,Germany
46,Germany,Italy
47,Italy,Germany
48,Germany,Italy
49,Italy,Germany
50,Germany,Austria
51,Austria,Germany
52,Germany,Austria
53,Austria,Germany
54,Germany,Austria
55,Austria,Germany
56,Germany,Austria
57,Austria,Germany
58,Germany,Austria
59,Austria,Germany
60,Austria,Germany
61,Germany,Spain
62,France,Poland
63,France,Poland
64,France,Poland
65,Poland,France
66,France,Germany
67,Germany,Poland
68,France,Poland
69,Poland,France
70,France,Germany
71,Germany,Poland
72,France,Poland
73,Poland,France
74,France,Germany
75,Germany,Poland
76,France,Poland
77,Poland,France
78,France,Germany
79,Germany,Poland
80,Poland,France
81,France,Germany
82,Germany,Poland
83,Poland,Germany
84,France,Germany
85,Germany,Poland
86,Poland,Germany
87,Germany,Estonia
88,Estonia,Latvia
89,Latvia,Lithuania
90,Lithuania,Finland
91,Poland,Germany
92,Germany,Estonia
93,Estonia,Latvia
94,Latvia,Lithuania
95,Lithuania,Finland
96,Finland,Germany
97,Germany,Poland
98,Poland,Germany
99,Germany,Estonia
100,Estonia,Latvia
101,Latvia,Lithuania
102,Lithuania,Finland
103,Finland,Germany
104,Germany,Poland
105,Poland,Belgium
106,Belgium,Netherlands
107,Netherlands,Luxembourg
108,Poland,Germany
109,Germany,Estonia
110,Estonia,Latvia
111,Latvia,Lithuania
112,Lithuania,Finland
113,Finland,Germany
114,Germany,Poland
115,Poland,Belgium
116,Belgium,Netherlands
117,Netherlands,Luxembourg
118,Poland,Germany
119,Germany,Estonia
120,Estonia,Latvia
121,Latvia,Lithuania
122,Lithuania,Finland
123,Finland,Germany
124,Germany,Poland
125,Poland,Belgium
126,Belgium,Netherlands
127,Netherlands,Luxembourg
128,Luxembourg,Belgium
129,Belgium,Denmark
130,Denmark,Norway
131,Estonia,Latvia
132,Latvia,Lithuania
133,Lithuania,Finland
