,source_country,target_country,value
8,France,Germany,31
9,Germany,Poland,28
1,Germany,Russia,26
4,Germany,Italy,26
30,Germany,Japan,24
42,India,Pakistan,18
31,Japan,Russia,16
28,Egypt,Libya,16
0,France,Russia,12
13,Finland,Lithuania,12
11,Estonia,Latvia,12
20,Denmark,Norway,12
24,Albania,Greece,12
40,India,Japan,11
44,Israel,South Africa,11
7,France,Poland,11
5,Austria,Germany,11
38,Japan,Philippines,11
39,Japan,Solomon Islands,9
66,Cuba,United States,7
73,Finland,Russia,6
68,Australia,Canada,6
60,Albania,Bulgaria,6
61,Bulgaria,Poland,6
22,Germany,Sweden,6
62,Poland,Romania,6
19,Belgium,Denmark,6
63,Hungary,Romania,6
12,Latvia,Lithuania,6
36,Singapore,Thailand,6
35,Japan,Thailand,6
26,Belarus,Ukraine,6
33,Algeria,Morocco,6
17,Luxembourg,Netherlands,6
16,Belgium,Netherlands,6
65,Cuba,Mongolia,6
43,Israel,Pakistan,6
41,France,India,6
46,Iran,Libya,6
75,Italy,Japan,6
50,Pakistan,Philippines,6
2,Bulgaria,Germany,6
52,Cambodia,Laos,6
53,Cambodia,Kenya,6
54,Ghana,Kenya,6
55,Ghana,Seychelles,6
76,Romania,Russia,6
57,Estonia,Lithuania,6
58,Finland,Romania,6
3,Bulgaria,Russia,6
51,Laos,Philippines,5
21,Denmark,Sweden,5
45,Israel,Libya,5
37,Japan,Singapore,5
34,Algeria,Italy,5
29,Egypt,Iraq,5
56,Angola,Seychelles,5
71,Cuba,Vietnam,5
10,Estonia,Germany,5
14,Finland,Germany,5
15,Belgium,Poland,5
59,Albania,Romania,5
64,Hungary,Mongolia,4
48,France,Japan,4
70,Cambodia,Vietnam,4
69,Australia,Vietnam,4
18,Belgium,Luxembourg,4
74,Greece,Italy,4
23,France,Italy,4
27,Belarus,Libya,3
49,India,Papua New Guinea,3
47,Germany,Iran,3
25,Greece,Ukraine,2
77,India,Lebanon,2
72,Russia,United States,2
67,Canada,United States,2
32,Germany,Morocco,2
6,Germany,Spain,1
78,India,Singapore,1
